Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant,5 in Regions ofOccurrence,AL in CurrentDistribution,AK in CurrentDistribution,AZ in CurrentDistribution,AR in CurrentDistribution,CA in CurrentDistribution,CO in CurrentDistribution,CT in CurrentDistribution,DE in CurrentDistribution,FL in CurrentDistribution,GA in CurrentDistribution,HI in CurrentDistribution,ID in CurrentDistribution,IL in CurrentDistribution,IN in CurrentDistribution,IA in CurrentDistribution,KS in CurrentDistribution,KY in CurrentDistribution,LA in CurrentDistribution,ME in CurrentDistribution,MD in CurrentDistribution,MA in CurrentDistribution,MI in CurrentDistribution,MN in CurrentDistribution,MS in CurrentDistribution,MO in CurrentDistribution,MT in CurrentDistribution,NE in CurrentDistribution,NV in CurrentDistribution,NH in CurrentDistribution,NJ in CurrentDistribution,NM in CurrentDistribution,NY in CurrentDistribution,NC in CurrentDistribution,ND in CurrentDistribution,OH in CurrentDistribution,OK in CurrentDistribution,OR in CurrentDistribution,PA in CurrentDistribution,RI in CurrentDistribution,SC in CurrentDistribution,SD in CurrentDistribution,TN in CurrentDistribution,TX in CurrentDistribution,UT in CurrentDistribution,VT in CurrentDistribution,VA in CurrentDistribution,WA in CurrentDistribution,WV in CurrentDistribution,WI in CurrentDistribution,WY in CurrentDistribution
Sicyos albus,`Anunu,HI; U.S.A. (HI),Cucurbitaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sicyos cucumerinus,`Anunu,HI;,Cucurbitaceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sicyos macrophyllus,`Anunu,HI;,Cucurbitaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canavalia molokaiensis,`Awikiwiki,HI; U.S.A. (HI),Fabaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canavalia napaliensis,`Awikiwiki,HI; U.S.A. (HI),Fabaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canavalia pubescens,`Awikiwiki,HI;,Fabaceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pseudognaphalium (=Gnaphalium) sandwicensium var. molokaiense,`Ena`ena,HI;,Asteraceae,Flowering Plants,Endangered,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gnaphalium sandwicensium flagellare,Whip `ena`ena,HI;,Asteraceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vestiaria coccinea,`I'iwi,HI;,Fringillidae,Birds,Threatened,1,V,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cyrtandra begoniifolia,`Ilihia,HI;,Gesneriaceae,Flowering Plants,Not Listed,1,P,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
