Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Stygobromus pizzinii,Pizzini's amphipod,"DC, MD, PA, VA;",Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus nanus,Pocahontas cave amphipod,WV;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus tenuis potomacus,Potomac groundwater amphipod,"DC, MD, PA, VA;",Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus redactus,Redacted cave amphipod,WV;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus reddelli,Redell's cave amphipod,TX;,Crangonyctidae,Crustaceans,Not Listed,2,I
Stygobromus lucifugus,Rubious Cave amphipod,IL; Believed to be extinct,Crangonyctidae,Crustaceans,Not Listed,3,I
Stygobromus gracilipes,Shenandoah Valley cave amphipod,"MD, PA, VA, WV;",Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus mackini,Southwestern Virginia cave amphipod,"TN, VA;",Crangonyctidae,Crustaceans,Not Listed,"4, 5",I
Stygobromus spinatus,Spring Cave amphipod,WV;,Crangonyctidae,Crustaceans,Not Listed,5,I
Stygobromus stellmacki,Stellmack's cave amphipod,PA;,Crangonyctidae,Crustaceans,Not Listed,5,I
