Scientific Name,Common Name,CurrentDistribution,Family,Species Group,Federal Listing Status,Regions ofOccurrence,Vertebrate/Invertebrate/Plant
Ovis vignei vignei,Shapo,Kashmir,Bovidae,Mammals,Endangered,N/A,V
Sphyrna lewini,Scalloped Hammerhead Shark,N/A,Sphyrnidae,Fishes,Endangered,N/A,V
Sphyrna lewini,Scalloped Hammerhead Shark,N/A,Sphyrnidae,Fishes,Threatened,N/A,V
Sphyrna lewini,Scalloped Hammerhead Shark,N/A,Sphyrnidae,Fishes,Endangered,N/A,V
Sphyrna lewini,Scalloped Hammerhead Shark,N/A,Sphyrnidae,Fishes,Threatened,N/A,V
Puffinus heinrothi,Heinroth's shearwater,"Pacific Ocean-Papua New Guinea (Bougainville Island), Solomon Islands (Kolom-bangara and Rendova)",Procellariidae,Birds,Threatened,N/A,V
Puffinus auricularis newelli,Newell's Townsend's shearwater,HI; ; U.S.A. (HI),Procellariidae,Birds,Threatened,1,V
Ovis canadensis,Bighorn sheep,N/A,Bovidae,Mammals,Not Listed,N/A,V
Ovis canadensis nelsoni,Peninsular bighorn sheep,CA; U.S.A. (CA) Peninsula Ranges,Bovidae,Mammals,Endangered,8,V
Ovis canadensis sierrae,Sierra Nevada bighorn sheep,CA; U.S.A. (CA) Sierra Nevada,Bovidae,Mammals,Endangered,8,V
Coleotichus blackburniae,Koa shield bug,HI;,Scutellaridae,Insects,Not Listed,1,I
Cyprinella xaenura,Altamaha shiner,GA;,Cyprinidae,Fishes,Not Listed,4,V
Notropis girardi,Arkansas River shiner,"AR, KS, NM, OK, TX; U.S.A. (TX, OK, NM, KS, AR)",Cyprinidae,Fishes,Threatened,"2, 4, 6",V
Cyprinella formosa,Beautiful shiner,"AZ, NM; U.S.A. (NM, AZ), Mexico",Cyprinidae,Fishes,Threatened,2,V
Notropis melanostomus,Blackmouth shiner,FL;,Cyprinidae,Fishes,Not Listed,4,V
Cyprinella caerulea,Blue shiner,"AL, GA, TN; U.S.A. (TN, GA, AL)",Cyprinidae,Fishes,Threatened,4,V
Pteronotropis hubbsi,Bluehead shiner,"AR, LA, OK, TX;",Cyprinidae,Fishes,Not Listed,"2, 4",V
Cyprinella callitaenia,Bluestripe shiner,FL;,Cyprinidae,Fishes,Not Listed,4,V
Pteronotropis euryzonus,Broadstripe shiner,"AL, GA;",Cyprinidae,Fishes,Not Listed,4,V
Notropis asperifrons,Burrhead shiner,"AL, GA, TN;",Cyprinidae,Fishes,Not Listed,4,V
Notropis cahabae,Cahaba shiner,AL; U.S.A. (AL),Cyprinidae,Fishes,Endangered,4,V
Notropis mekistocholas,Cape Fear shiner,NC; U.S.A. (NC),Cyprinidae,Fishes,Endangered,4,V
Notropis chihuahua,Chihuahua shiner,TX;,Cyprinidae,Fishes,Not Listed,2,V
Notropis perpallidus,Colorless shiner,"AR, OK;",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,"2, 4",V
Notropis hypsilepis,Highscale shiner,"AL, GA;",Cyprinidae,Fishes,Not Listed,4,V
Cyprinella lutrensis blairi,Maravillas red shiner,TX; Believed to be extinct,Cyprinidae,Fishes,Not Listed,2,V
Cyprinella sp.,Nueces River shiner,TX;,cyprinidae,Fishes,Not Listed,2,V
Cyprinella callisema,Ocmulgee shiner,GA;,Cyprinidae,Fishes,Not Listed,4,V
Lythrurus snelsoni,Ouachita Mountain shiner,"AR, OK;",Cyprinidae,Fishes,Not Listed,"2, 4",V
Notropis ozarcanus,Ozark shiner,"AR, MO;",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,"3, 4",V
Notropis albizonatus,Palezone shiner,"AL, KY; Little South Fork river system in south-central Kentucky and Paint Rock River system in Alabama.; U.S.A. (TN, KY, AL)",Cyprinidae,Fishes,Endangered,4,V
Notropis simus pecosensis,Pecos bluntnose shiner,NM; U.S.A. (NM),Cyprinidae,Fishes,Threatened,2,V
Notropis orca,Phantom shiner,"NM, TX; Believed to be extinct",Cyprinidae,Fishes,Not Listed,2,V
Cyprinella lepida,Plateau shiner,TX;,Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,2,V
Notropis ariommus,Popeye shiner,"GA, KY, OH, TN, VA, WV;",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,"3, 4, 5",V
Cyprinella proserpina,Proserpine shiner,TX;,Cyprinidae,Fishes,Not Listed,2,V
Notropis jemezanus,Rio Grande shiner,"NM, TX;",Cyprinidae,Fishes,Not Listed,2,V
Notropis simus simus,Rio Grande bluntnose shiner,NM; Believed to be extinct,Cyprinidae,Fishes,Not Listed,2,V
Notropis suttkusi,Rocky shiner,"AR, OK;",Cyprinidae,Fishes,Under Review in the Candidate or Petition Process,"2, 4",V
Notropis semperasper,Roughhead shiner,VA;,Cyprinidae,Fishes,Not Listed,5,V
Notropis oxyrhynchus,Sharpnose Shiner,TX;,Cyprinidae,Fishes,Endangered,2,V
Notropis buccula,Smalleye Shiner,TX;,Cyprinidae,Fishes,Endangered,2,V
Notropis topeka (=tristis),Topeka shiner,"IA, KS, MN, MO, NE, SD; U.S.A. (SD, NE, MO, MN, KS, IA)",Cyprinidae,Fishes,Endangered,"3, 6",V
Notropis topeka (=tristis),Topeka shiner,N/A,Cyprinidae,Fishes,"Experimental Population, Non-Essential",N/A,V
Amphigyra alabamensis,Shoal sprite,AL;,Planorbidae,Snails,Not Listed,4,I
Dodecatheon frenchii,French's shootingstar,"AR, IL, IN, KY, MO;",Primulaceae,Flowering Plants,Not Listed,"3, 4",P
Dodecatheon austrofrigidum,Tundra shootingstar,"OR, WA;",Primulaceae,Flowering Plants,Not Listed,1,P
Paracoenia calida,Wilbur Springs shore fly,CA;,Ephydridae,Insects,Not Listed,8,I
Cervus elaphus wallichi,Shou,"China (Tibet),Bhutan",Cervidae,Mammals,Endangered,N/A,V
Helminthoglypta nickliniana bridgesi,Bridges' Coast Range shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta callistoderma,Kern shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta allynsmithi,Merced Canyon shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta nickliniana awania,Peninsula Coast Range shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta traski coelata,Peninsular Range shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta arrosa pomoensis,Pomo bronze shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta sequoicola consors,Redwood shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta mohaveana,Victorville shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Helminthoglypta arrosa williamsi,Williams' bronze shoulderband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Blarina hylophaga plumbea,Aransas short-tailed shrew,TX;,Soricidae,Mammals,Not Listed,2,V
Sorex arizonae,Arizona shrew,"AZ, NM;",Soricidae,Mammals,Not Listed,2,V
Sorex palustris navigator,Arizona water shrew,AZ;,Soricidae,Mammals,Not Listed,2,V
Sorex trigonirostris,Ashland shrew,OR;,Soricidae,Mammals,Not Listed,1,V
Sorex ornatus relictus,Buena Vista Lake ornate Shrew,CA; U.S.A. (CA),Soricidae,Mammals,Endangered,8,V
Sorex trowbridgii destructioni,Destruction Island shrew,WA;,Soricidae,Mammals,Not Listed,1,V
Blarina brevicauda telmalestes,Dismal Swamp short-tailed shrew,"NC, VA;",Soricidae,Mammals,Not Listed,"4, 5",V
Sorex longirostris fisheri,Dismal Swamp southeastern shrew,"NC, VA;",Soricidae,Mammals,Original Data in Error - New Information Discovered,"4, 5",V
Sorex alaskanus,Glacier Bay water shrew,AK;,Soricidae,Mammals,Not Listed,7,V
Sorex longirostris eionis,Homossassa shrew,FL;,Soricidae,Mammals,Not Listed,4,V
Sorex dispar,Long-tailed shrew,"DE, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV;",Soricidae,Mammals,Not Listed,"4, 5",V
Blarina brevicauda aloga,Martha's Vineyard short-tailed shrew,MA;,Soricidae,Mammals,Not Listed,5,V
Sorex ornatus salarius,Monterey ornate shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Sorex lyelli,Mt. Lyell shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Blarina brevicauda compacta,Nantucket short-tailed shrew,MA;,Soricidae,Mammals,Not Listed,5,V
Microsorex hoyi thompsoni,Northeastern pygmy shrew,"MA, ME, MI, NH, NY, OH, PA, VT, WI, WV;",Soricidae,Mammals,Not Listed,"3, 5",V
Sorex preblei,Preble's shrew,WA;,Soricidae,Mammals,Not Listed,1,V
Sorex hydrodromus,Pribilof Islands shrew,AK;,Soricidae,Mammals,Not Listed,7,V
Sorex ornatus salicornicus,Salt marsh ornate shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Sorex vagrans halicoetes,Salt marsh vagrant shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Sorex monticolus parvidens,San Bernardino dusky shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Sorex ornatus willetti,Santa Catalina ornate shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Blarina brevicauda shermani,Blarina carolinensis ssp. shermani,FL;,Soricidae,Mammals,Under Review in the Candidate or Petition Process,4,V
Sorex hoyi winnemana,Southern pygmy shrew,"IL, IN, KY, MD, NC, OH, TN, VA;",Soricidae,Mammals,Not Listed,"3, 4, 5",V
Sorex palustris punctulatus,Southern water shrew,"MD, NC, PA, TN, VA, WV;",Soricidae,Mammals,Not Listed,"4, 5",V
Sorex ornatus sinuosus,Suisun ornate shrew,CA;,Soricidae,Mammals,Not Listed,8,V
Sorex cinereus nigriculus,Tuckahoe masked shrew,"DE, NJ;",Soricidae,Mammals,Not Listed,5,V
Lanius ludovicianus ssp. anthonyi,Island loggerhead shrike,CA;,Laniidae,Birds,Not Listed,8,V
Lanius ludovicianus,Loggerhead Shrike,N/A,Laniidae,Birds,Not Listed,N/A,V
Lanius ludovicianus migrans,Migrant loggerhead shrike,"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV;",Laniidae,Birds,Not Listed,"2, 3, 4, 5, 6",V
Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,CA; U.S.A. (CA),Laniidae,Birds,Endangered,8,V
Halocaridina palahemo,[Unnamed] shrimp,HI;,Atyidae,Crustaceans,Not Listed,1,I
sphaeromicola moria,A Cave Obligate Shrimp,N/A,entocytheridae,Crustaceans,Not Listed,N/A,I
Palaemonias alabamae,Alabama cave shrimp,AL; U.S.A. (AL),Atyidae,Crustaceans,Endangered,4,I
Antecaridina lauensis,Anchialine pool shrimp,HI;,Atyidae,Crustaceans,Not Listed,1,I
Calliasmata pholidota,Anchialine pool Shrimp,HI;,Alpheidae,Crustaceans,Not Listed,1,I
Metabetaeus lohena,Anchialine pool shrimp,"HI; ; During Brock’s (2004, pp. 30-57) most recent survey of Ahihi-Kinau Natural Area Reserve (NAR), located on the island of Maui, Metabetaeus lohena was observed in 9 pool groups. On the island of Hawaii, the State has been conducting surveys of Manuka NAR since 2008 and found M. lohena in 13 pools (T. Sakihara, DAR, in litt. 2010).  In addition, M. lohena was found in one pool at Halape in Hawaii Volcanoes National Park (T. Jones, National Park Service, in litt. 2010).  On the island of Oahu, M. lohena has been found in one pool in Waianae on State owned property, one pool at Malaekahana State Park, and, due to recent restoration efforts, this species now occurs in one pool at the Kalaeloa Unit of the Pearl Harbor National Wildlife Refuge .",Alpheidae,Crustaceans,Not Listed,1,I
Palaemonella burnsi,Anchialine pool shrimp,"HI; ; Currently in the state of Hawaii, there are estimated to be over 650 anchialine pools, approximately 90 percent of which occur on the island of Hawaii.  Originally, only one pool located in the Park on the island of Hawaii was known to contain this species.  During recent monitoring efforts by the State’s Division of Aquatic Resources (DAR), Palaemonella burnsi has been found in multiple pools within the Manuka NAR (T. Sakihara, DAR, in litt. 2010).  On the island of Maui, this species is found at three sites in the State’s Ahihi-Kinau NAR (Brock 2004, pp. 30-57; Holthuis 1973, pp.  24-30; Maciolek, 1983, pp. 607-612).",Palaemonidae,Crustaceans,Not Listed,1,I
Procaris hawaiana,Anchialine pool Shrimp,"HI; ; Currently in the state of Hawaii, there are estimated to be over 650 anchialine pools, approximately 90 percent of which occur on the island of Hawaii (Brock 2004, p. i).  Of the approximately 585 anchialine pools found on the island of Hawaii, only 15 pools are known to contain Procaris hawaiiana. There are 12 pools at Manuka NAR (T. Sakihara, Division of Aquatic Resources (DAR), in litt., 2010) and 1 located at Lua o Palahemo, where P. hawaiiana co-occurs with  Vetericaris chaceorum (Holthuis 1973, pp. 12-19; Maciolek 1983, pp. 607-614; Brock 2004, pp. 30-57), another candidate species.  On Maui, Procaris hawaiana occurs in two pools at Ahihi-Kinau NAR (Holthuis 1973, pp. 12-19; Maciolek 1983, pp. 607-614; Brock 2004, pp. 30-57).",Procarididae,Crustaceans,Endangered,1,I
Vetericaris chaceorum,Anchialine pool shrimp,HI;,Procaridae,Crustaceans,Endangered,1,I
Syncaris pacifica,California freshwater shrimp,CA; U.S.A. (CA),Palaemonidae,Crustaceans,Endangered,8,I
Dexteria floridana,Florida fairy shrimp,FL;,Chirocephalidae,Crustaceans,Not Listed,4,I
Palaemonias ganteri,Kentucky cave shrimp,KY; U.S.A. (KY),Atyidae,Crustaceans,Endangered,4,I
Branchinecta mesovallensis,Midvalley Fairy Shrimp,N/A,Branchinectidae,Crustaceans,Not Listed,N/A,I
Palaemonetes cummingi,Squirrel Chimney Cave shrimp,"FL; The Squirrel Chimney Cave Shrimp is only known from the Squirrel Chimney near Haile, Alachua County, Florida.  This small, deep sinkhole that leads to a flooded cave system formed within the Crystal River Formation of the Ocala Group limestone.  This formation underlies the Newberry Limestone Plain and is characteristic of karst topography.  This relatively flat karst plain has numerous sinks and caves and connections between underground features do occur.  Caves in this area support a variety of terrestrial and aquatic habitats.  Several of the sink and cave systems within 5 miles are ecologically similar to Squirrel Chimney.  There are similar assemblages of cavern dwelling species in these nearby underground sites, but no Squirrel Chimney Cave Shrimp have been documented.; U.S.A. (FL)",Palaemonidae,Crustaceans,Threatened,4,I
Palaemonetes antrorum,Texas cave shrimp,TX;,Palaemonidae,Crustaceans,Not Listed,2,I
Typhlatya monae,Troglobitic groundwater shrimp,"PR, VI;",Atyidae,Crustaceans,Not Listed,4,I
Symphalangus syndactylus,Siamang,"Malaysia, Indonesia",Pongidae,Mammals,Endangered,N/A,V
Sidalcea robusta,Butte County sidalcea,CA;,Malvaceae,Flowering Plants,Not Listed,8,P
Sidalcea hickmanii anomala,Cuesta Pass sidalcea,CA;,Malvaceae,Flowering Plants,Not Listed,8,P
Sidalcea hickmanii hickmanii,Hickman's sidalcea,CA;,Malvaceae,Flowering Plants,Not Listed,8,P
Monadenia mormonum buttoni,Button's Sierra sideband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Monadenia fidelis minor,Dalles sideband,OR;,Helminthoglyptida,Snails,Under Review in the Candidate or Petition Process,1,I
Monadenia mormonum hirsuta,Hirsute sierra sideband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Monadenia circumcarinata,Keeled sideband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Monadenia fidelis pronotis,Rocky coast Pacific sideband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Monadenia troglodytes troglodytes,Shasta sideband,CA;,Helminthoglyptida,Snails,Under Review in the Candidate or Petition Process,8,I
Monadenia chaceana,Siskiyou sideband,"CA, OR;",Bradybaenidae,Snails,Not Listed,"1, 8",I
Monadenia troglodytes ssp. wintu,Wintu sideband,CA;,Bradybaenidae,Snails,Under Review in the Candidate or Petition Process,8,I
Monadenia hillebrandi yosemitensis,Yosemite mariposa sideband,CA;,Helminthoglyptida,Snails,Not Listed,8,I
Stygobromus carolinensis,Yancey sideswimmer,NC;,Crangonyctidae,Crustaceans,Not Listed,4,I
Crotalus cerastes,sidewinder,N/A,viperidae,Reptiles,Not Listed,N/A,V
Propithecus spp.,Sifakas,Malagasy Republic (=Madagascar),Indridae,Mammals,Endangered,N/A,V
Automeris louisiana,Louisiana Eye silkmoth,"LA, MS;",Saturniidae,Insects,Under Review in the Candidate or Petition Process,4,I
Cincinnatia helicogyra,Crystal siltsnail,FL;,Hydrobiidae,Snails,Not Listed,4,I
Cincinnatia monroensis,Enterprise siltsnail,FL;,Hydrobiidae,Snails,Under Review in the Candidate or Petition Process,4,I
Floridobia mica,Ichetucknee siltsnail,FL;,Hydrobiidae,Snails,Not Listed,4,I
Cincinnatia ponderosa,Ponderous siltsnail,FL;,Hydrobiidae,Snails,Under Review in the Candidate or Petition Process,4,I
Cincinnatia parva,Pygmy siltsnail,FL;,Hydrobiidae,Snails,Under Review in the Candidate or Petition Process,4,I
Cincinnatia vanhyningi,Seminole siltsnail,FL;,Hydrobiidae,Snails,Not Listed,4,I
Cincinnatia wekiwae,Wekiwa siltsnail,FL;,Hydrobiidae,Snails,Under Review in the Candidate or Petition Process,4,I
Styrax platanifolia stellata,[Unnamed] silverbells,TX;,Styracaceae,Flowering Plants,Not Listed,2,P
Argythamnia blodgettii,Blodgett's silverbush,FL; Miami-Dade and Monroe Counties,Euphorbiaceae,Flowering Plants,Threatened,4,P
Paronychia argyrocoma,Silverling,"MA, ME, NH;",Caryophyllaceae,Flowering Plants,Not Listed,5,P
Stebbinsoseris decipiens,Santa Cruz silverpuffs,CA;,Asteraceae,Flowering Plants,Not Listed,8,P
Menidia extensa,Waccamaw silverside,NC; U.S.A. (NC),Atherinidae,Fishes,Threatened,4,V
Speyeria nokomis caerulescens,Blue silverspot,AZ;,Nymphalidae,Insects,Not Listed,2,I
Speyeria zerene carolae,Carole's silverspot,NV;,Nymphalidae,Insects,Not Listed,8,I
Speyeria nokomis carsonensis,Carson Valley silverspot,"CA, NV; U.S.A. (CA, NV)",Nymphalidae,Insects,Not Listed,8,I
Speyeria nokomis nokomis,Great Basin silverspot,"CO, UT;",Nymphalidae,Insects,Under Review in the Candidate or Petition Process,6,I
Speyeria atlantis greyi,Grey's silverspot,NV;,Nymphalidae,Insects,Not Listed,8,I
Speyeria egleis tehachapina,Tehachapi Mountain silverspot,CA;,Nymphalidae,Insects,Not Listed,8,I
Speyeria callippe extincta,Willamette silverspot,OR; Believed to be extinct,Nymphalidae,Insects,Not Listed,1,I
Argyroxiphium caliginis,Eke silversword,N/A,Asteraceae,Flowering Plants,Not Listed,N/A,P
Argyroxiphium kauense,Mauna Loa (=Ka'u) silversword,HI; U.S.A. (HI),Asteraceae,Flowering Plants,Endangered,1,P
Pseudobranchus striatus lustricolus,Gulf Hammock dwarf siren,FL;,Sirenidae,Amphibians,Under Review in the Candidate or Petition Process,4,V
Siren intermedia texana,Rio Grande lesser siren,TX;,Sirenidae,Amphibians,Not Listed,2,V
Carduelis cucullata,Red siskin,South America,Fringillidae,Birds,Endangered,N/A,V
Lygodesmia entrada,Entrada skeletonplant,UT;,Asteraceae,Flowering Plants,Not Listed,6,P
Neurocordulia clara,Apalachicola twilight skimmer,"AL, FL;",Corduliidae,Insects,Not Listed,4,I
Williamsonia lintneri,Banded bog skimmer,"CT, DE, MA, NH, NJ, NY, RI;",Corduliidae,Insects,Not Listed,5,I
Rynchops niger,Black Skimmer,N/A,Laridae,Birds,Not Listed,N/A,V
Macromia margarita,Margarita River skimmer,"GA, NC, SC, TN, VA;",Macromiidae,Insects,Under Review in the Candidate or Petition Process,"4, 5",I
Libellula jesseana,Purple skimmer,FL;,Libellulidae,Insects,Under Review in the Candidate or Petition Process,4,I
Macromia taeniolata,Wabash belted skimmer,"IN, OH, TX; Possibly extinct,not reported since 1965",Macromiidae,Insects,Not Listed,"2, 3",I
Eumeces gilberti arizonensis,Arizona Gilbert's skink,AZ;,Scincidae,Reptiles,Not Listed,2,V
Eumeces egregius lividus,Bluetail mole skink,FL; U.S.A. (FL),Scincidae,Reptiles,Threatened,4,V
Eumeces egregius insularis,Cedar Key mole skink,FL;,Scincidae,Reptiles,Under Review in the Candidate or Petition Process,4,V
Eumeces skiltonianus interparietalis,Coronado skink,CA;,Scincidae,Reptiles,Not Listed,8,V
Eumeces egregius egregius,Florida Keys mole skink,FL;,Scincidae,Reptiles,Under Review in the Candidate or Petition Process,4,V
Spondylurus monae,Mona Skink,"PR, VI;",Scincidae,Reptiles,Under Review in the Candidate or Petition Process,4,V
Aulacoplax leptosoma,Pandanus skink,N/A,Scincidae,Reptiles,Not Listed,N/A,V
Leiolopisma telfairi,Round Island skink,Indian Ocean-Mauritius,Scincidae,Reptiles,Threatened,N/A,V
Neoseps reynoldsi,Sand skink,FL; U.S.A. (FL),Scincidae,Reptiles,Threatened,4,V
Emoia slevini,Slevin's skink,"GU, MP;",Scincidae,Reptiles,Endangered,1,V
eumeces gilberti ssp. rubricaudatus,Western red-tailed skink,N/A,scincidae,Reptiles,Not Listed,N/A,V
Pseudocopaeodes eunus eunus,Alkali skipper,CA; Southern CA,Hesperiidae,Insects,Not Listed,8,I
Euphyes bayensis,Bay skipper,"MS, TX;",Hesperiidae,Insects,Not Listed,"2, 4",I
Pseudocopaeodes eunus obscurus,Carson wandering skipper,"CA, NV; U.S.A. (NV, CA); Washoe CNTY,NV and Lassen CNTY, CA",Hesperiidae,Insects,Endangered,8,I
Poanes massasoit chermocki,Chermock's mulberry wing skipper,MD;,Hesperiidae,Insects,Not Listed,5,I
Hesperia dacotae,Dakota Skipper,"IA, MN, ND, SD;",Hesperiidae,Insects,Threatened,"3, 6",I
Polites sabuleti sinemaculata,Denio sandhill skipper,NV; U.S.A. (NV),Hesperiidae,Insects,Not Listed,8,I
Euphyes dukesi calhouni,Duke's skipper,FL;,Hesperiidae,Insects,Under Review in the Candidate or Petition Process,4,I
Euphyes vestris harbisoni,Dun skipper,CA;,Hesperiidae,Insects,Not Listed,8,I
Atrytone arogos arogos,Eastern beard grass Skipper,"AL, DE, FL, GA, MS, NC, NJ, NY, PA, SC, VA;",Hesperiidae,Insects,Not Listed,"4, 5",I
Pyrgus centaureae,Grizzled skipper,"DE, KY, MD, MI, NC, NJ, NY, OH, PA, VA, WV;",Hesperiidae,Insects,Not Listed,"3, 4, 5",I
Pyrgus ruralis lagunae,Laguna Mountains skipper,CA; U.S.A. (CA),Hesperiidae,Insects,Endangered,8,I
Hesperopsis gracielae,MacNeill sooty wing skipper,"AZ, CA, NV, UT;",Hesperiidae,Insects,Not Listed,"2, 6, 8",I
Stallingsia maculosus,Maculated manfreda skipper,TX;,Megathymidae,Insects,Not Listed,2,I
Polites mardon,Mardon skipper,"CA, OR, WA;",Hesperiidae,Insects,Not Listed,"1, 8",I
Euphyes pilatka klotsi,Palatka skipper,FL;,Hesperiidae,Insects,Under Review in the Candidate or Petition Process,4,I
Hesperia leonardus montana,Pawnee montane skipper,CO; U.S.A. (CO),Hesperiidae,Insects,Threatened,6,I
Hesperia uncas giulianii,Railroad Valley skipper,CA; U.S.A. (CA),Hesperiidae,Insects,Not Listed,8,I
Hesperia uncas reeseorum,Railroad Valley Skipper,NV; U.S.A. (NV),Hesperiidae,Insects,Not Listed,8,I
Hesperia uncas ssp. fulvapalla,Railroad Valley skipper,NV; U.S.A. (NV),Hesperiidae,Insects,Not Listed,8,I
Problema bulenta,Rare skipper,"GA, MD, NC, SC, VA;",Hesperiidae,Insects,Not Listed,"4, 5",I
Carterocephalus palaemon ssp.,Sonoma arctic skipper,CA;,Hesperiidae,Insects,Not Listed,8,I
Hesperia comma ssp.,Spring Mountain comma skipper,NV;,Hesperiidae,Insects,Not Listed,8,I
Panoquina errans,Wandering skipper,CA;,Hesperiidae,Insects,Not Listed,8,I
Hesperia mirimae ssp.,White Mountains skipper,"CA, NV;",Hesperiidae,Insects,Not Listed,8,I
Polites sabuleti albomontana,White Mountains sandhill skipper,"CA, NV;",Hesperiidae,Insects,Not Listed,8,I
Hesperia uncas grandiosa,White River Valley skipper,NV; U.S.A. (NV),Hesperiidae,Insects,Not Listed,8,I
Oarisma poweshiek,Poweshiek skipperling,"IA, MI, MN, ND, SD, WI;",Hesperiidae,Insects,Endangered,"3, 6",I
Skistodiaptomus carolinensis,Carolina skistodiaptomus,NC;,Cyclopidae,Crustaceans,Not Listed,4,I
Scutellaria saxatilis,[Unnamed] skullcap,"DE, GA, IN, KY, MO, NC, OH, PA, TN, VA, WV;",Lamiaceae,Flowering Plants,Not Listed,"3, 4, 5",P
Scutellaria floridana,Florida skullcap,FL; U.S.A. (FL),Lamiaceae,Flowering Plants,Threatened,4,P
Scutellaria ovata pseudoarguta,"Heart-leaved, skullcap","VA, WV;",Lamiaceae,Flowering Plants,Not Listed,5,P
Scutellaria montana,Large-flowered skullcap,"GA, TN; U.S.A. (TN, GA)",Lamiaceae,Flowering Plants,Threatened,4,P
Scutellaria ocmulgee,Ocmulgee skullcap,"GA, SC;",Lamiaceae,Flowering Plants,Under Review in the Candidate or Petition Process,4,P
Scutellaria nana,Ravendale skullcap,"CA, NV;",Lamiaceae,Flowering Plants,Not Listed,8,P
Scutellaria laevis,Smooth-stem skullcap,TX;,Lamiaceae,Flowering Plants,Not Listed,2,P
Scutellaria thieretii,Thieret's skullcap,"LA, TX;",Lamiaceae,Flowering Plants,Not Listed,"2, 4",P
Conepatus mesoleucus telmalestes,Big Thicket hog-nosed skunk,TX;,Mustelidae,Mammals,Not Listed,2,V
Spilogale putorius amphiala,Channel Islands spotted skunk,CA;,Mustelidae,Mammals,Not Listed,8,V
Conepatus mesoleucus figginsi,Colorado hog-nosed skunk,CO;,Mustelidae,Mammals,Not Listed,6,V
Spilogale putorius interrupta,Eastern spotted skunk,CO;,Mustelidae,Mammals,Under Review in the Candidate or Petition Process,6,V
Conepatus leuconotus texensis,Gulf Coast hog-nosed skunk,TX;,Mustelidae,Mammals,Not Listed,2,V
Polemonium chartaceum,Mason's sky-pilot,CA;,Polemoniaceae,Flowering Plants,Not Listed,8,P
Ipomopsis polyantha,Pagosa skyrocket,CO; U.S.A. (CO),Polemoniaceae,Flowering Plants,Endangered,6,P
Elliptio chipolaensis,Chipola slabshell,"AL, FL; Panhandle watersheds: Chipola upstream of Dead Lake; main channel of the Chipola River and its larger tributaries; prefers muddy sand and sandy clay substrates, but also found in silty sand substrates; U.S.A. (FL, AL)",Unionidae,Clams,Threatened,4,I
Elliptio judithae,Neuse slabshell,NC;,Unionidae,Clams,Not Listed,4,I
Pseudemys scripta gaigeae,Big Bend slider,TX;,Emydidae,Reptiles,Not Listed,2,V
Stenotrema pilsbryi,Rich Mt. slitmouth,"AR, OK;",Polygyridae,Snails,Not Listed,"2, 4",I
Gyrotoma excisa,Excised slitshell,AL; Believed to be extinct,Pleuroceridae,Snails,Not Listed,4,I
Gyrotoma pagoda,Pagoda slitshell,AL; Believed to be extinct,Pleuroceridae,Snails,Not Listed,4,I
Gyrotoma pyramidata,Pyramid slitshell,AL; Believed to be extinct,Pleuroceridae,Snails,Not Listed,4,I
Gyrotoma pumila,Ribbed slitshell,AL; Believed to be extinct,Pleuroceridae,Snails,Not Listed,4,I
Gyrotoma walkeri,Round slitshell,AL; Believed to be extinct,Pleuroceridae,Snails,Not Listed,4,I
Gyrotoma lewisii,Striate slitshell,AL; Believed to be extinct,Pleuroceridae,Snails,Not Listed,4,I
Bradypus torquatus,Brazilian three-toed sloth,Brazil,Bradypodidae,Mammals,Endangered,N/A,V
Bradypus pygmaeus,Pygmy Three-toed Sloth,N/A,Bradypodidae,Mammals,Under Review in the Candidate or Petition Process,N/A,V
Binneya notabilis,Santa Barbara shelled slug,CA;,Arionidae,Snails,Not Listed,8,I
